date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:04	58528/58528	---M-Z	200	added ('OK')	text/html	etag:%221e442f-e4a0-56c7686bc9580-gzip%22	http://templates.aucreative.co/bemax/index.html	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/index.html	(from )
10:22:04	677/677	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2017%20Jun%202019%2006:22:03%20GMT	http://templates.aucreative.co/robots.txt		(from )
10:22:05	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%221e440e-47e-56c75c6c00640%22	http://templates.aucreative.co/bemax/images/icon/favicon.ico	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/images/icon/favicon.ico	(from http://templates.aucreative.co/bemax/index.html)
10:22:06	30060/30060	---M--	200	added ('OK')	text/css	etag:%22200ffd-756c-56c7694074b40%22	http://templates.aucreative.co/bemax/vendor/revolution/css/settings.css	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/vendor/revolution/css/settings.css	(from http://templates.aucreative.co/bemax/index.html)
10:22:08	140793/140793	---M--	200	added ('OK')	text/css	etag:%22200feb-225f9-56c7693d98480%22	http://templates.aucreative.co/bemax/vendor/revolution/css/layers.css	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/vendor/revolution/css/layers.css	(from http://templates.aucreative.co/bemax/index.html)
10:22:09	59576/59576	---M--	200	added ('OK')	text/css	etag:%22200fff-e8b8-56c7693d98480%22	http://templates.aucreative.co/bemax/vendor/revolution/css/navigation.css	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/vendor/revolution/css/navigation.css	(from http://templates.aucreative.co/bemax/index.html)
10:22:12	144877/144877	---M--	200	added ('OK')	text/css	etag:%22201044-235ed-56c768f2412c0%22	http://templates.aucreative.co/bemax/vendor/bootstrap/css/bootstrap.min.css	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/vendor/bootstrap/css/bootstrap.min.css	(from http://templates.aucreative.co/bemax/index.html)
10:22:13	31000/31000	---M--	200	added ('OK')	text/css	etag:%22200383-7918-56c769036bb40%22	http://templates.aucreative.co/bemax/vendor/fonts/css/font-awesome.min.css	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/vendor/fonts/css/font-awesome.min.css	(from http://templates.aucreative.co/bemax/index.html)
10:22:14	1776/1776	---M--	200	added ('OK')	text/css	etag:%22201098-6f0-56c768d699180%22	http://templates.aucreative.co/bemax/vendor/slick/slick.css	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/vendor/slick/slick.css	(from http://templates.aucreative.co/bemax/index.html)
10:22:14	2936/2936	---M--	200	added ('OK')	text/css	etag:%22201084-b78-56c769584c380%22	http://templates.aucreative.co/bemax/vendor/owlcarousel/dist/css/owl.carousel.min.css	C:/Users/code/Desktop/Bemax/Bemax/templates.aucreative.co/bemax/vendor/owlcarousel/dist/css/owl.carousel.min.css	(from http://templates.aucreative.co/bemax/index.html)
